name,date,year,Accession,Authors,Geo_Location,country,collection_date,GenBank_Title,n_redundant_seqs
HCoV-229E-11/6/79,1979.441095890411,1979,DQ243964,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1979-06-11,"Human coronavirus 229E isolate HCoV-229E-11/6/79 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-16/6/82,1982.454794520548,1982,DQ243965,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1982-06-16,"Human coronavirus 229E isolate HCoV-229E-16/6/82 spike glycoprotein (S) gene, complete cds",2
HCoV-229E-22/9/82,1982.7232876712328,1982,DQ243966,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1982-09-22,"Human coronavirus 229E isolate HCoV-229E-22/9/82 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-6/10/82,1982.7616438356165,1982,DQ243967,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1982-10-06,"Human coronavirus 229E isolate HCoV-229E-6/10/82 spike glycoprotein (S) gene, complete cds",2
HCoV-229E-8/11/82b,1982.8520547945207,1982,DQ243970,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1982-11-08,"Human coronavirus 229E isolate HCoV-229E-8/11/82b spike glycoprotein (S) gene, complete cds",1
HCoV-229E-29/7/84,1984.5753424657535,1984,DQ243971,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1984-07-29,"Human coronavirus 229E isolate HCoV-229E-29/7/84 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-5/9/84,1984.6794520547944,1984,DQ243972,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1984-09-05,"Human coronavirus 229E isolate HCoV-229E-5/9/84 spike glycoprotein (S) gene, complete cds",1
USA/892-11/1989,1989.1013698630136,1989,KF514429,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","USA: Nashville, TN",USA,1989-02-07,"Human coronavirus 229E strain 229E/human/USA/892-11/1989, partial genome",1
HCoV-229E-24/6/90,1990.4767123287672,1990,DQ243973,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1990-06-24,"Human coronavirus 229E isolate HCoV-229E-24/6/90 spike glycoprotein (S) gene, complete cds",4
HCoV-229E-17/6/92,1992.4602739726026,1992,DQ243976,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,1992-06-17,"Human coronavirus 229E isolate HCoV-229E-17/6/92 spike glycoprotein (S) gene, complete cds",1
USA/933-40/1993,1993.1890410958904,1993,KF514433,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","USA: Nashville, TN",USA,1993-03-11,"Human coronavirus 229E strain 229E/human/USA/933-40/1993, complete genome",1
USA/933-50/1993,1993.2082191780821,1993,KF514430,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","USA: Nashville, TN",USA,1993-03-18,"Human coronavirus 229E strain 229E/human/USA/933-50/1993, complete genome",1
USA/953-49/1995,1995.2219178082191,1995,KF514431,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","USA: Nashville, TN",USA,1995-03-23,"Human coronavirus 229E strain 229E/human/USA/953-49/1995, partial genome",1
HCoV-229E-8/8/01,2001.6,2001,DQ243977,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2001-08-08,"Human coronavirus 229E strain HCoV-229E-8/8/01 spike glycoprotein (S) gene, complete cds",2
HCoV-229E-21/6/02,2002.468493150685,2002,DQ243979,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2002-06-21,"Human coronavirus 229E strain HCoV-229E-21/6/02 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-6/1/03,2003.013698630137,2003,DQ243980,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2003-01-06,"Human coronavirus 229E strain HCoV-229E-6/1/03 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-30/7/03,2003.5753424657535,2003,DQ243983,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2003-07-30,"Human coronavirus 229E strain HCoV-229E-30/7/03 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-14/8/03,2003.6164383561643,2003,DQ243984,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2003-08-14,"Human coronavirus 229E strain HCoV-229E-14/8/03 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-19/8/03,2003.6301369863013,2003,DQ243985,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2003-08-19,"Human coronavirus 229E strain HCoV-229E-19/8/03 spike glycoprotein (S) gene, complete cds",1
HCoV-229E-25/8/03,2003.6465753424657,2003,DQ243986,"Chibo,D., Birch,C., Birch,C.J.",Australia,Australia,2003-08-25,"Human coronavirus 229E strain HCoV-229E-25/8/03 spike glycoprotein (S) gene, complete cds",1
Sendai-H/1121/04,2004.0,2004,AB691764,"Shirato,K., Kawase,M., Watanabe,O., Hirokawa,C., Matsuyama,S., Nishimura,H., Taguchi,F.","Japan: Miyagi, Sendai",Japan,2004-01-01,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: Sendai-H/1121/04",1
Sendai-H/1948/04,2004.0,2004,AB691766,"Shirato,K., Kawase,M., Watanabe,O., Hirokawa,C., Matsuyama,S., Nishimura,H., Taguchi,F.","Japan: Miyagi, Sendai",Japan,2004-01-01,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: Sendai-H/1948/04",1
Sendai-H/826/04,2004.0,2004,AB691765,"Shirato,K., Kawase,M., Watanabe,O., Hirokawa,C., Matsuyama,S., Nishimura,H., Taguchi,F.","Japan: Miyagi, Sendai",Japan,2004-01-01,"Human coronavirus 229E S gene for spike protein, complete cds, isolate: Sendai-H/826/04",1
748_2005,2005.0,2005,KM055557,"Zhang,Y., Ren,L., Wang,J.",China,China,2005-01-01,"Human coronavirus 229E isolate 748_2005 spike glycoprotein (S) gene, complete cds",1
857_2005,2005.0,2005,KM055559,"Zhang,Y., Ren,L., Wang,J.",China,China,2005-01-01,"Human coronavirus 229E isolate 857_2005 spike glycoprotein (S) gene, complete cds",1
359A_2007,2007.0,2007,KM055551,"Zhang,Y., Ren,L., Wang,J.",China,China,2007-01-01,"Human coronavirus 229E isolate 359A_2007 spike glycoprotein (S) gene, complete cds",1
423A_2007,2007.0,2007,KM055552,"Zhang,Y., Ren,L., Wang,J.",China,China,2007-01-01,"Human coronavirus 229E isolate 423A_2007 spike glycoprotein (S) gene, complete cds",3
507A_2008,2008.0,2008,KM055555,"Zhang,Y., Ren,L., Wang,J.",China,China,2008-01-01,"Human coronavirus 229E isolate 507A_2008 spike glycoprotein (S) gene, complete cds",1
693A_2008,2008.0,2008,KM055556,"Zhang,Y., Ren,L., Wang,J.",China,China,2008-01-01,"Human coronavirus 229E isolate 693A_2008 spike glycoprotein (S) gene, complete cds",1
1546A_2009,2009.0,2009,KM055534,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 1546A_2009 spike glycoprotein (S) gene, complete cds",4
1512A_2009,2009.0,2009,KM055532,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 1512A_2009 spike glycoprotein (S) gene, complete cds",2
1482A_2009,2009.0,2009,KM055553,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 1482A_2009 spike glycoprotein (S) gene, complete cds",1
1649A_2009,2009.0,2009,KM055535,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 1649A_2009 spike glycoprotein (S) gene, complete cds",7
8348_2009,2009.0,2009,KM055558,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 8348_2009 spike glycoprotein (S) gene, complete cds",1
1424A_2009,2009.0,2009,KM055560,"Zhang,Y., Ren,L., Wang,J.",China,China,2009-01-01,"Human coronavirus 229E isolate 1424A_2009 spike glycoprotein (S) gene, complete cds",1
1761A_2010,2010.0,2010,KM055538,"Zhang,Y., Ren,L., Wang,J.",China,China,2010-01-01,"Human coronavirus 229E isolate 1761A_2010 spike glycoprotein (S) gene, complete cds",1
