DateRead,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
12/3/20,Plate 1-V,AUSAB-10,1,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 1-V,AUSAB-12,2,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 1-V,AUSAB-17,3,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 1-V,AUSAB-20,4,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 2-V,POP_0013,1,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 2-V,POP_0030,2,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 2-V,POP_0074,3,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 2-V,POP_0097,4,229E-2001,layout1.csv,0.1,3
12/3/20,Plate 3-V,AUSAB-10,1,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 3-V,AUSAB-12,2,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 3-V,AUSAB-17,3,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 3-V,AUSAB-20,4,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 4-V,POP_0013,1,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 4-V,POP_0030,2,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 4-V,POP_0074,3,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 4-V,POP_0097,4,229E-2008,layout1.csv,0.1,3
12/3/20,Plate 5-V,AUSAB-10,1,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 5-V,AUSAB-12,2,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 5-V,AUSAB-17,3,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 5-V,AUSAB-20,4,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 6-V,POP_0013,1,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 6-V,POP_0030,2,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 6-V,POP_0074,3,229E-2016,layout1.csv,0.1,3
12/3/20,Plate 6-V,POP_0097,4,229E-2016,layout1.csv,0.1,3
