DateRead,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
11/27/20,Plate 1-V,POP_0041,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 1-V,POP_0045,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 1-V,POP_0085,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 1-V,POP_0102,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 2-V,POP_0007,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 2-V,POP_0026,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 2-V,POP_0030,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 2-V,POP_0047,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 3-V,POP_0011,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 3-V,POP_0013,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 3-V,POP_0034,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 3-V,POP_0074,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 4-V,POP_0019,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 4-V,POP_0036,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 4-V,POP_0097,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 4-V,FR1377,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 5-V,AUSAB-01,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 5-V,AUSAB-02,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 5-V,AUSAB-04,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 5-V,AUSAB-06,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 6-V,AUSAB-07,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 6-V,AUSAB-08,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 6-V,AUSAB-09,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 6-V,AUSAB-10,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 7-V,AUSAB-11,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 7-V,AUSAB-12,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 7-V,AUSAB-13,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 7-V,AUSAB-15,4,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 8-V,AUSAB-16,1,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 8-V,AUSAB-17,2,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 8-V,AUSAB-18,3,229E-2016,layout1.csv,0.1,3
11/27/20,Plate 8-V,AUSAB-20,4,229E-2016,layout1.csv,0.1,3
